article_id,predicted_summary,tags,notes
NEWS_0110," ""I love my new name. In Texas people are formal, so now it's 'Mrs. Parker' I feel old! But I love it,"" says Parker . ""I've sprained my ankle walking on the cobblestones in Paris wearing them,"" she says",DE,Reference identifies subject as Eva Longoria Parker from Desperate Housewives but predicted summary never names her or the show — primary actor dropped entirely.
NEWS_0108," New York City Taxi and Limousine Commission chairman Matthew Daus: ""The biggest problem we face is bandit cabs. Never take a bandit cab"" Taxi driver in Los Angeles: ""If they're there and need a ride I stop my cab""",DE,Reference is about practical tips for catching a cab (iPhone app Taxi Magic / leaving events early) but predicted summary focuses only on bandit cabs — key practical angle dropped.
NEWS_0115," YouTube video of Susan Boyle's performance has had more than 5 million hits . Boyle appeared on ""Britain's Got Talent"" last weekend with an inauspicious start . She told judges and audience of the show that she was single, she lived with her cat, Pebbles .",HN,Predicted states 5 million YouTube hits but reference does not cite this number — hallucinated numeric not verifiable from reference.
NEWS_0011," NEW: Beyoncé sings Etta James' ""At Last,"" from her role in ""Cadillac Records"" NEW: Michelle Obama's gown was designed by up-and-coming designer Jason Wu, 26 . NEW: ""It's thrilling. ... For a young designer, I couldn't ask for any more than this",DE,Reference leads with Obama thanking youth for his journey and military ball appearance — predicted summary drops Obama's speech entirely and focuses on gown and Beyoncé.
NEWS_0027," New age chanteuse Sa Dingding is one global export that echoes the Beijing Olympic fantasy of ""One World. One Dream"" Born in Inner Mongolia in 1983, she spent three years until the age of 6 with her grandmother, living in northern China . Her first album sold 2 million copies in Southeast Asia",HN,Predicted says 2 million copies sold matching reference — but adds detail that she spent time with grandmother until age 6 which is not in reference summary; borderline insertion.
NEWS_0013," Chris Pirillo: No budget for a new computer in this recession? It's a common malady these days, he says . Pirillo says you don't have to settle for less than what yesterday's perfect computer can offer . If you use more than one computer on a regular basis, this is likely what you're doing",DE,Reference gives specific actionable tips (check software updates / move to web / switch from IE to Firefox) — predicted drops all specific advice and only quotes Pirillo generically.
NEWS_0005," Mat Kearney's new album, ""City of Black & White"" (Aware/Columbia) is out Tuesday . The Oregon-born musician, 30, sat down with CNN to talk about his songwriting journey . Kearney: ""This record is about worlds colliding, being that far away from home""",,Faithful — album name correct; Oregon origin and age consistent with article context; no hallucinations detected.
NEWS_0043," Apple CEO Steve Jobs rebuffed the suggestion that Apple will revolutionize TV in the same way it has reshaped the music industry . The time is right for Apple to tackle the TV, and the company's re-entry into that market is a no-brainer . Apple's iTunes is an obvious starting point",CA,Reference says Jobs denied Apple was planning to enter cell phone/tablet markets as a smart tactic — predicted reverses this by saying Jobs denied TV plans but the model was a no-brainer; contradicts the article's framing of Jobs' denials as deliberate misdirection.
NEWS_0019," George Harrison's widow: ""There's someone here from every important stage of George's life and career"" George Harrison, 58, becomes second Beatle with a Hollywood star . Harrison's first solo greatest hits collection -- ""Let it Roll: Songs by George Harrison"" -- will be released on June 16 .",HN,Predicted states Harrison was 58 — but Harrison died of cancer in 2001 and this number is not in the reference summary; hallucinated numeric.
NEWS_0045," Nanci Griffith is best known for her 1993 album, ""Other Voices, Other Rooms"" She says she's ""fed up with negativity"" and was revitalized by the election of Barack Obama . Griffith: ""It was nice to focus on things outside of my body""",,Faithful — album year and Obama revitalization consistent with reference; no hallucinations detected.
